Mal ID,Username,Gender,Birthday,Location,Joined,Days Watched,Mean Score,Watching,Completed,On Hold,Dropped,Plan to Watch,Total Entries,Rewatched,Episodes Watched
1,Xinil,Male,1985-03-04T00:00:00+00:00,California,2004-11-05T00:00:00+00:00,142.3,7.37,1.0,233.0,8.0,93.0,64.0,399.0,60.0,8458.0
4,Crystal,Female,,"Melbourne, Australia",2004-11-13T00:00:00+00:00,212.8,6.68,16.0,636.0,303.0,0.0,45.0,1000.0,10.0,12781.0
9,Arcane,,,,2004-12-05T00:00:00+00:00,30.0,7.71,5.0,54.0,4.0,3.0,0.0,66.0,0.0,1817.0
20,vondur,Male,1988-01-25T00:00:00+00:00,"Bergen, Norway",2005-01-05T00:00:00+00:00,73.1,8.06,11.0,94.0,11.0,2.0,20.0,138.0,7.0,4374.0
23,Amuro,,1988-02-22T00:00:00+00:00,Canada,2005-01-23T00:00:00+00:00,142.5,7.41,20.0,298.0,5.0,19.0,50.0,392.0,0.0,8565.0
47,kei-clone,Male,,31f288172a11dea9f2781a6d87e0a200,2005-03-09T00:00:00+00:00,34.5,6.84,15.0,104.0,22.0,3.0,19.0,163.0,1.0,2054.0
53,Ladholyman,,,,2005-03-19T00:00:00+00:00,11.5,9.24,0.0,51.0,0.0,0.0,0.0,51.0,0.0,693.0
66,Hiromi,Male,1990-02-09T00:00:00+00:00,"Calgary, AB",2005-04-01T00:00:00+00:00,70.6,7.53,34.0,148.0,13.0,6.0,10.0,211.0,50.0,4117.0
70,Cruzle,Male,1983-11-09T00:00:00+00:00,,2005-04-14T00:00:00+00:00,78.0,7.18,30.0,135.0,9.0,8.0,22.0,204.0,15.0,4694.0
71,Smoka,,,,2005-04-21T00:00:00+00:00,22.9,8.01,2.0,67.0,11.0,0.0,0.0,80.0,0.0,1295.0
80,koalatees,,1991-10-24T00:00:00+00:00,,2005-04-27T00:00:00+00:00,12.2,7.1,4.0,31.0,0.0,41.0,0.0,76.0,0.0,744.0
82,Achtor,Male,1989-06-10T00:00:00+00:00,"Paris, France",2005-04-29T00:00:00+00:00,47.0,7.17,6.0,153.0,36.0,20.0,101.0,316.0,0.0,2922.0
83,jaames,Male,,"Seattle, Washington",2005-04-30T00:00:00+00:00,12.5,8.71,3.0,16.0,0.0,0.0,0.0,19.0,0.0,745.0
91,marvin_9martian,Female,,Canada,2005-05-10T00:00:00+00:00,36.4,6.66,4.0,57.0,4.0,31.0,29.0,125.0,1.0,2187.0
95,sorairo,Male,,Latvia,2005-05-12T00:00:00+00:00,50.5,6.09,1.0,114.0,10.0,7.0,26.0,158.0,42.0,2974.0
108,Keitarou,Male,,good ol' Europe,2005-06-11T00:00:00+00:00,360.7,6.29,221.0,1496.0,0.0,0.0,83.0,1800.0,0.0,21193.0
111,Misato,,,,2005-06-14T00:00:00+00:00,25.4,7.17,14.0,55.0,4.0,12.0,0.0,85.0,1.0,1516.0
112,luffykun,Male,1983-06-09T00:00:00+00:00,"London,England",2005-06-17T00:00:00+00:00,72.6,8.77,2.0,125.0,0.0,0.0,1.0,128.0,0.0,4329.0
116,loklo,,,,2005-06-24T00:00:00+00:00,15.2,7.82,2.0,25.0,5.0,2.0,0.0,34.0,0.0,905.0
119,Phony2,,,,2005-06-25T00:00:00+00:00,180.9,7.61,20.0,391.0,51.0,6.0,25.0,493.0,0.0,10843.0
120,hazte,Male,1986-11-08T00:00:00+00:00,"Lule&aring;, Sweden",2005-06-26T00:00:00+00:00,138.5,6.69,46.0,260.0,26.0,1.0,45.0,378.0,15.0,8358.0
124,Torstein,Male,,,2005-06-28T00:00:00+00:00,7.8,7.0,7.0,6.0,1.0,3.0,5.0,22.0,0.0,476.0
130,Ezzpify,Male,1996-01-25T00:00:00+00:00,,2005-06-29T00:00:00+00:00,7.4,8.63,1.0,7.0,0.0,0.0,0.0,8.0,0.0,444.0
133,Ritsuka,Female,,,2005-07-01T00:00:00+00:00,83.3,7.39,7.0,125.0,24.0,55.0,28.0,239.0,50.0,5000.0
138,DanskiJonez,Male,1986-07-31T00:00:00+00:00,"Ontario, Canada",2005-07-06T00:00:00+00:00,152.8,9.09,34.0,188.0,1.0,2.0,2.0,227.0,29.0,9153.0
143,Rukia,Female,,UAE,2005-07-12T00:00:00+00:00,48.4,8.22,10.0,104.0,91.0,13.0,39.0,257.0,0.0,2888.0
154,bakavic,,,,2005-07-22T00:00:00+00:00,1.2,8.33,1.0,2.0,0.0,0.0,0.0,3.0,0.0,71.0
157,KobaKoba,Female,1989-04-19T00:00:00+00:00,,2005-07-24T00:00:00+00:00,59.8,8.03,23.0,161.0,23.0,2.0,7.0,216.0,0.0,3533.0
162,Sigyns,Female,,,2005-07-30T00:00:00+00:00,109.4,7.44,2.0,371.0,25.0,29.0,48.0,475.0,4.0,6630.0
163,Holzy,Male,1982-12-22T00:00:00+00:00,Locked up in Shuuka basement working on cards :p,2005-07-31T00:00:00+00:00,247.2,7.62,74.0,1478.0,16.0,0.0,661.0,2229.0,0.0,14967.0
169,Nekokitsune,Female,,,2005-08-04T00:00:00+00:00,24.3,8.44,11.0,57.0,9.0,4.0,22.0,103.0,0.0,1434.0
185,Fador,Male,1984-04-08T00:00:00+00:00,"Tampere, Finland",2005-08-14T00:00:00+00:00,78.0,7.58,77.0,167.0,10.0,7.0,0.0,261.0,1.0,4737.0
208,Arinohyoshi,Male,1987-09-12T00:00:00+00:00,"Finland, Pori",2005-01-30T00:00:00+00:00,85.0,8.3,12.0,194.0,2.0,25.0,19.0,252.0,0.0,5053.0
212,eternally,Female,1988-02-14T00:00:00+00:00,,2005-09-16T00:00:00+00:00,35.1,6.47,1.0,113.0,0.0,85.0,0.0,199.0,0.0,2121.0
222,Notrik,Male,1987-02-18T00:00:00+00:00,"Drøbak, Norway",2005-10-18T00:00:00+00:00,93.2,8.44,15.0,179.0,0.0,1.0,0.0,195.0,0.0,5538.0
223,starhawk,,,,2005-10-25T00:00:00+00:00,10.0,6.95,5.0,55.0,0.0,4.0,13.0,77.0,3.0,511.0
224,modious,Male,,,2005-10-26T00:00:00+00:00,56.5,8.18,8.0,65.0,0.0,1.0,85.0,159.0,0.0,3371.0
225,Mamoru,Male,,,2005-10-31T00:00:00+00:00,45.1,8.39,14.0,105.0,0.0,0.0,36.0,155.0,1.0,2704.0
